iter	Passed	Remaining
868	464430	70011
869	464912	69469
870	465453	68936
871	466026	68407
872	466468	67859
873	466879	67307
874	467369	66767
875	467921	66235
876	468422	65696
877	468869	65150
878	469443	64621
879	469862	64072
880	470317	63527
881	470876	62997
882	471456	62469
883	471985	61934
884	472502	61398
885	473032	60864
886	473573	60331
887	474041	59789
888	474645	59263
889	475199	58732
890	475667	58190
891	476192	57655
892	476725	57121
893	477281	56590
894	477719	56045
895	478276	55514
896	478780	54977
897	479309	54442
898	479747	53898
899	480285	53365
900	480841	52833
901	481325	52294
902	481914	51767
903	482460	51234
904	482888	50690
905	483420	50156
906	483848	49611
907	484411	49081
908	484816	48534
909	485248	47991
910	485771	47457
911	486310	46924
912	486744	46381
913	487233	45844
914	487736	45308
915	488289	44777
916	488739	44237
917	489229	43700
918	489780	43168
919	490300	42634
920	490865	42104
921	491390	41571
922	491968	41041
923	492542	40512
924	493073	39978
925	493511	39438
926	494086	38908
927	494776	38387
928	495213	37847
929	495710	37311
930	496229	36777
931	496772	36245
932	497337	35714
933	497848	35179
934	498392	34647
935	498904	34113
936	499394	33577
937	499879	33041
938	500328	32502
939	500885	31971
940	501446	31440
941	502006	30909
942	502533	30375
943	503027	29840
944	503629	29311
945	504210	28781
946	504679	28245
947	505203	27711
948	505667	27174
949	506251	26644
950	506807	26113
951	507260	25576
952	507795	25043
953	508337	24511
954	508844	23976
955	509453	23447
956	510033	22916
957	510605	22385
958	511169	21853
959	511642	21318
960	512232	20787
961	512698	20252
962	513299	19721
963	513831	19188
964	514327	18654
965	514813	18119
966	515280	17584
967	515815	17051
968	516374	16519
969	516960	15988
970	517564	15457
971	518015	14922
972	518497	14387
973	519076	13856
974	519501	13320
975	520020	12787
976	520553	12254
977	521131	11722
978	521582	11188
979	522105	10655
980	522671	10123
981	523202	9590
982	523790	9058
983	524357	8526
984	524911	7993
985	525433	7460
986	525895	6926
987	526334	6392
988	526935	5860
989	527497	5328
990	528147	4796
991	528767	4264
992	529374	3731
993	529966	3198
994	530544	2666
995	531186	2133
996	531800	1600
997	532344	1066
998	532961	533
999	533596	0
